"REF_DATE","GEO","DGUID","Labour force characteristics","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2025-04","Canada","2021A000011124","Unemployment rate","Total - Gender","25 years and over","Percent","239","units","0","v2091179","1.8.1.3","5.8","","","","1"
"2025-05","Canada","2021A000011124","Unemployment rate","Total - Gender","25 years and over","Percent","239","units","0","v2091179","1.8.1.3","5.6","","","","1"
"2024-05","Canada","2021A000011124","Unemployment rate","Total - Gender","25 to 44 years","Percent","239","units","0","v2091180","1.8.1.4","5.5","","","","1"
"2024-06","Canada","2021A000011124","Unemployment rate","Total - Gender","25 to 44 years","Percent","239","units","0","v2091180","1.8.1.4","5.5","","","","1"
"2024-07","Canada","2021A000011124","Unemployment rate","Total - Gender","25 to 44 years","Percent","239","units","0","v2091180","1.8.1.4","5.6","","","","1"
"2024-08","Canada","2021A000011124","Unemployment rate","Total - Gender","25 to 44 years","Percent","239","units","0","v2091180","1.8.1.4","6.7","","","","1"
"2024-09","Canada","2021A000011124","Unemployment rate","Total - Gender","25 to 44 years","Percent","239","units","0","v2091180","1.8.1.4","5.6","","","","1"
"2024-10","Canada","2021A000011124","Unemployment rate","Total - Gender","25 to 44 years","Percent","239","units","0","v2091180","1.8.1.4","5.7","","","","1"
"2024-11","Canada","2021A000011124","Unemployment rate","Total - Gender","25 to 44 years","Percent","239","units","0","v2091180","1.8.1.4","5.9","","","","1"
"2024-12","Canada","2021A000011124","Unemployment rate","Total - Gender","25 to 44 years","Percent","239","units","0","v2091180","1.8.1.4","5.6","","","","1"
"2025-01","Canada","2021A000011124","Unemployment rate","Total - Gender","25 to 44 years","Percent","239","units","0","v2091180","1.8.1.4","6.7","","","","1"
"2025-02","Canada","2021A000011124","Unemployment rate","Total - Gender","25 to 44 years","Percent","239","units","0","v2091180","1.8.1.4","6.5","","","","1"
"2025-03","Canada","2021A000011124","Unemployment rate","Total - Gender","25 to 44 years","Percent","239","units","0","v2091180","1.8.1.4","6.5","","","","1"
"2025-04","Canada","2021A000011124","Unemployment rate","Total - Gender","25 to 44 years","Percent","239","units","0","v2091180","1.8.1.4","6.2","","","","1"
"2025-05","Canada","2021A000011124","Unemployment rate","Total - Gender","25 to 44 years","Percent","239","units","0","v2091180","1.8.1.4","6.0","","","","1"
"2024-05","Canada","2021A000011124","Unemployment rate","Total - Gender","45 to 64 years","Percent","239","units","0","v19650603","1.8.1.22","4.4","","","","1"
"2024-06","Canada","2021A000011124","Unemployment rate","Total - Gender","45 to 64 years","Percent","239","units","0","v19650603","1.8.1.22","4.1","","","","1"
"2024-07","Canada","2021A000011124","Unemployment rate","Total - Gender","45 to 64 years","Percent","239","units","0","v19650603","1.8.1.22","5.0","","","","1"
"2024-08","Canada","2021A000011124","Unemployment rate","Total - Gender","45 to 64 years","Percent","239","units","0","v19650603","1.8.1.22","5.8","","","","1"
"2024-09","Canada","2021A000011124","Unemployment rate","Total - Gender","45 to 64 years","Percent","239","units","0","v19650603","1.8.1.22","4.2","","","","1"
"2024-10","Canada","2021A000011124","Unemployment rate","Total - Gender","45 to 64 years","Percent","239","units","0","v19650603","1.8.1.22","4.4","","","","1"
"2024-11","Canada","2021A000011124","Unemployment rate","Total - Gender","45 to 64 years","Percent","239","units","0","v19650603","1.8.1.22","4.9","","","","1"
"2024-12","Canada","2021A000011124","Unemployment rate","Total - Gender","45 to 64 years","Percent","239","units","0","v19650603","1.8.1.22","4.8","","","","1"
"2025-01","Canada","2021A000011124","Unemployment rate","Total - Gender","45 to 64 years","Percent","239","units","0","v19650603","1.8.1.22","5.3","","","","1"
"2025-02","Canada","2021A000011124","Unemployment rate","Total - Gender","45 to 64 years","Percent","239","units","0","v19650603","1.8.1.22","5.2","","","","1"
"2025-03","Canada","2021A000011124","Unemployment rate","Total - Gender","45 to 64 years","Percent","239","units","0","v19650603","1.8.1.22","5.7","","","","1"
"2025-04","Canada","2021A000011124","Unemployment rate","Total - Gender","45 to 64 years","Percent","239","units","0","v19650603","1.8.1.22","5.5","","","","1"
"2025-05","Canada","2021A000011124","Unemployment rate","Total - Gender","45 to 64 years","Percent","239","units","0","v19650603","1.8.1.22","5.2","","","","1"
"2024-05","Canada","2021A000011124","Unemployment rate","Total - Gender","45 years and over","Percent","239","units","0","v2091181","1.8.1.5","4.4","","","","1"
"2024-06","Canada","2021A000011124","Unemployment rate","Total - Gender","45 years and over","Percent","239","units","0","v2091181","1.8.1.5","4.2","","","","1"
"2024-07","Canada","2021A000011124","Unemployment rate","Total - Gender","45 years and over","Percent","239","units","0","v2091181","1.8.1.5","4.9","","","","1"
"2024-08","Canada","2021A000011124","Unemployment rate","Total - Gender","45 years and over","Percent","239","units","0","v2091181","1.8.1.5","5.6","","","","1"
"2024-09","Canada","2021A000011124","Unemployment rate","Total - Gender","45 years and over","Percent","239","units","0","v2091181","1.8.1.5","4.2","","","","1"
"2024-10","Canada","2021A000011124","Unemployment rate","Total - Gender","45 years and over","Percent","239","units","0","v2091181","1.8.1.5","4.3","","","","1"
"2024-11","Canada","2021A000011124","Unemployment rate","Total - Gender","45 years and over","Percent","239","units","0","v2091181","1.8.1.5","4.8","","","","1"
"2024-12","Canada","2021A000011124","Unemployment rate","Total - Gender","45 years and over","Percent","239","units","0","v2091181","1.8.1.5","4.7","","","","1"
"2025-01","Canada","2021A000011124","Unemployment rate","Total - Gender","45 years and over","Percent","239","units","0","v2091181","1.8.1.5","5.2","","","","1"
"2025-02","Canada","2021A000011124","Unemployment rate","Total - Gender","45 years and over","Percent","239","units","0","v2091181","1.8.1.5","5.0","","","","1"
"2025-03","Canada","2021A000011124","Unemployment rate","Total - Gender","45 years and over","Percent","239","units","0","v2091181","1.8.1.5","5.5","","","","1"
"2025-04","Canada","2021A000011124","Unemployment rate","Total - Gender","45 years and over","Percent","239","units","0","v2091181","1.8.1.5","5.3","","","","1"
"2025-05","Canada","2021A000011124","Unemployment rate","Total - Gender","45 years and over","Percent","239","units","0","v2091181","1.8.1.5","5.0","","","","1"
"2024-05","Canada","2021A000011124","Unemployment rate","Total - Gender","25 to 54 years","Percent","239","units","0","v2091182","1.8.1.6","5.1","","","","1"
